label,Report_Date_as_YYYY-MM-DD,Open_Interest_All,net_lev,net_asset,net_lev_pct_oi,net_asset_pct_oi,net_lev_pctile_3y,net_lev_z_3y,net_lev_idx_3y,net_lev_chg_13w,net_asset_pctile_3y,net_asset_z_3y,net_asset_idx_3y,net_asset_chg_13w
AUSTRALIAN DOLLAR,2025-01-07,209191,-37512.0,-42734.0,-17.931937798471253,-20.42822109937808,,,,,,,,
AUSTRALIAN DOLLAR,2025-01-14,204175,-43766.0,-38056.0,-21.43553324354108,-18.638912697440922,,,,,,,,
AUSTRALIAN DOLLAR,2025-01-21,201730,-39789.0,-42510.0,-19.723888365637237,-21.072720963664302,,,,,,,,
AUSTRALIAN DOLLAR,2025-01-28,203598,-48327.0,-42331.0,-23.736480711991277,-20.79146160571322,,,,,,,,
AUSTRALIAN DOLLAR,2025-02-04,217073,-41872.0,-45624.0,-19.289363486016224,-21.017814283674156,,,,,,,,
AUSTRALIAN DOLLAR,2025-02-11,207440,-44643.0,-28927.0,-21.520921712302354,-13.9447551099113,,,,,,,,
AUSTRALIAN DOLLAR,2025-02-18,201548,-34325.0,-31165.0,-17.030682517315974,-15.462817790303054,,,,,,,,
AUSTRALIAN DOLLAR,2025-02-25,198113,-31973.0,-37268.0,-16.138769288234492,-18.811486373938106,,,,,,,,
AUSTRALIAN DOLLAR,2025-03-04,216732,-31548.0,-44948.0,-14.556226122584574,-20.738977169961057,,,,,,,,
AUSTRALIAN DOLLAR,2025-03-11,271551,-25951.0,-38359.0,-9.556584214383301,-14.125891637298334,,,,,,,,
AUSTRALIAN DOLLAR,2025-03-18,193574,-32320.0,-36948.0,-16.69645716883466,-19.0872741173918,,,,,,,,
AUSTRALIAN DOLLAR,2025-03-25,192180,-34372.0,-38054.0,-17.88531584972422,-19.801228015402227,,,,,,,,
AUSTRALIAN DOLLAR,2025-04-01,194127,-35955.0,-35118.0,-18.521380333493024,-18.090219289434238,,,,,,,,
AUSTRALIAN DOLLAR,2025-04-08,208794,-34615.0,-14713.0,-16.57854152897114,-7.046658428882056,,,,2897.0,,,,28021.0
AUSTRALIAN DOLLAR,2025-04-15,195563,-23466.0,-12807.0,-11.999202303094144,-6.548784790578995,,,,20300.0,,,,25249.0
AUSTRALIAN DOLLAR,2025-04-22,207537,-22635.0,-6012.0,-10.906488963413752,-2.8968328539007504,,,,17154.0,,,,36498.0
AUSTRALIAN DOLLAR,2025-04-29,199384,-16065.0,-9448.0,-8.057316534927576,-4.738594872206396,,,,32262.0,,,,32883.0
AUSTRALIAN DOLLAR,2025-05-06,200081,-12887.0,-13261.0,-6.440891438967219,-6.627815734627476,,,,28985.0,,,,32363.0
AUSTRALIAN DOLLAR,2025-05-13,194128,-5553.0,-27899.0,-2.8604838045001237,-14.371445644111102,,,,39090.0,,,,1028.0
AUSTRALIAN DOLLAR,2025-05-20,191945,-8067.0,-34282.0,-4.2027664174633355,-17.86032457214306,,,,26258.0,,,,-3117.0
AUSTRALIAN DOLLAR,2025-05-27,193528,-17122.0,-31865.0,-8.847298582117316,-16.465317680128972,,,,14851.0,,,,5403.0
AUSTRALIAN DOLLAR,2025-06-03,217172,-19493.0,-32356.0,-8.975834822168604,-14.898789899250364,,,,12055.0,,,,12592.0
AUSTRALIAN DOLLAR,2025-06-10,237277,-21833.0,-33624.0,-9.201481812396482,-14.17077930014287,,,,4118.0,,,,4735.0
AUSTRALIAN DOLLAR,2025-06-17,162305,-17712.0,-31808.0,-10.912787652875759,-19.597671051415546,,,,14608.0,,,,5140.0
AUSTRALIAN DOLLAR,2025-06-24,166192,-22963.0,-36937.0,-13.817151246750747,-22.225498218927505,,,,11409.0,,,,1117.0
AUSTRALIAN DOLLAR,2025-07-01,166324,-22903.0,-35992.0,-13.770111348933407,-21.63969120511772,65.38461538461539,0.4508203869335407,59.43797634076775,13052.0,46.15384615384615,-0.39484894956420075,24.315863879632435,-874.0
