Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,M_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap__Positions_Short_Old,Swap__Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap__Positions_Short_Other,Swap__Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined
GOLD - COMMODITY EXCHANGE INC.,250805,2025-08-05,088691,CMX ,1,88,670740,43003,70271,33758,270179,62450,192973,31162,40049,90523,22117,149032,611788,645260,58951,25479,670740,43003,70271,33758,270179,62450,192973,31162,40049,90523,22117,149032,611788,645260,58951,25479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   22326,   12247,   -3338,   -3716,   21501,   -8537,   14538,   -4427,    1579,   -3974,    1961,   11255,   23392,   19994,   -1066,    2332,100.0,6.4,10.5,5.0,40.3,9.3,28.8,4.6,6.0,13.5,3.3,22.2,91.2,96.2,8.8,3.8,100.0,6.4,10.5,5.0,40.3,9.3,28.8,4.6,6.0,13.5,3.3,22.2,91.2,96.2,8.8,3.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345,     19,     20,     17,     29,     39,    119,     14,     73,     96,     43,     70,312,    229,345,     19,     20,     17,     29,     39,    119,     14,     73,     96,     43,     70,    312,    229,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,17.9,27.5,28.7,45.7,13.2,22.4,20.3,36.6,17.9,27.5,28.7,45.7,13.2,22.4,20.3,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250729,2025-07-29,088691,CMX ,1,88,648414,30756,73609,37473,248678,70987,178435,35589,38470,94497,20156,137777,588396,625267,60017,23147,648414,30756,73609,37473,248678,70987,178435,35589,38470,94497,20156,137777,588396,625267,60017,23147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -110127,   -4152,   -4559,    5972,  -15082,  -14173,  -26079,    1942,  -13975,   -5044,   -4974,  -50534, -107985, -101355,   -2142,   -8773,100.0,4.7,11.4,5.8,38.4,10.9,27.5,5.5,5.9,14.6,3.1,21.2,90.7,96.4,9.3,3.6,100.0,4.7,11.4,5.8,38.4,10.9,27.5,5.5,5.9,14.6,3.1,21.2,90.7,96.4,9.3,3.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329,     17,     20,     21,     25,     39,    108,     18,     70,     94,     36,     66,300,    217,329,     17,     20,     21,     25,     39,    108,     18,     70,     94,     36,     66,    300,    217,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,17.5,27.1,27.8,44.6,13.3,21.2,20.0,34.7,17.5,27.1,27.8,44.6,13.3,21.2,20.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250722,2025-07-22,088691,CMX ,1,88,758541,34908,78168,31501,263760,85161,204514,33646,52445,99542,25130,188311,696381,726621,62160,31920,758541,34908,78168,31501,263760,85161,204514,33646,52445,99542,25130,188311,696381,726621,62160,31920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   79908,    -920,    3024,   -2139,   25974,   11224,   26251,    -960,    9830,   19430,    5119,   18036,   81713,   72246,   -1805,    7662,100.0,4.6,10.3,4.2,34.8,11.2,27.0,4.4,6.9,13.1,3.3,24.8,91.8,95.8,8.2,4.2,100.0,4.6,10.3,4.2,34.8,11.2,27.0,4.4,6.9,13.1,3.3,24.8,91.8,95.8,8.2,4.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370,     17,     24,     16,     31,     39,    126,     17,     75,     97,     53,     80,332,    246,370,     17,     24,     16,     31,     39,    126,     17,     75,     97,     53,     80,    332,    246,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,17.2,24.8,26.7,40.8,11.3,18.6,16.8,30.2,17.2,24.8,26.7,40.8,11.3,18.6,16.8,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250715,2025-07-15,088691,CMX ,1,88,678633,35828,75144,33639,237786,73937,178263,34607,42615,80111,20011,170275,614668,654375,63965,24258,678633,35828,75144,33639,237786,73937,178263,34607,42615,80111,20011,170275,614668,654375,63965,24258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   12320,    1747,    1103,   -1499,   11248,    5828,    8443,    -372,  -12338,     739,    -564,    8970,   11890,   13874,     429,   -1555,100.0,5.3,11.1,5.0,35.0,10.9,26.3,5.1,6.3,11.8,2.9,25.1,90.6,96.4,9.4,3.6,100.0,5.3,11.1,5.0,35.0,10.9,26.3,5.1,6.3,11.8,2.9,25.1,90.6,96.4,9.4,3.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,     17,     18,     15,     28,     37,    109,     19,     74,    101,     37,     73,309,    222,334,     17,     18,     15,     28,     37,    109,     19,     74,    101,     37,     73,    309,    222,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,18.5,26.7,28.1,42.6,11.5,20.2,17.1,31.7,18.5,26.7,28.1,42.6,11.5,20.2,17.1,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250708,2025-07-08,088691,CMX ,1,88,666313,34080,74042,35138,226538,68109,169820,34978,54953,79372,20575,161304,602778,640500,63535,25813,666313,34080,74042,35138,226538,68109,169820,34978,54953,79372,20575,161304,602778,640500,63535,25813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -2457,     787,   -1233,    -827,    2843,    1538,   -1232,     623,   -4637,    2052,     -83,   -2848,   -5167,   -3796,    2710,    1339,100.0,5.1,11.1,5.3,34.0,10.2,25.5,5.2,8.2,11.9,3.1,24.2,90.5,96.1,9.5,3.9,100.0,5.1,11.1,5.3,34.0,10.2,25.5,5.2,8.2,11.9,3.1,24.2,90.5,96.1,9.5,3.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328,     15,     18,     21,     24,     39,     99,     20,     68,    105,     37,     73,299,    220,328,     15,     18,     21,     24,     39,     99,     20,     68,    105,     37,     73,    299,    220,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,18.6,26.4,28.6,42.8,11.8,20.0,17.5,31.1,18.6,26.4,28.6,42.8,11.8,20.0,17.5,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250701,2025-07-01,088691,CMX ,1,88,668770,33294,75275,35966,223695,66571,171053,34356,59590,77320,20658,164152,607945,644296,60825,24473,668770,33294,75275,35966,223695,66571,171053,34356,59590,77320,20658,164152,607945,644296,60825,24473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -30200,     368,   -2208,   -1010,    5049,   -6103,    3666,   -2547,   -1879,   -2161,    -760,  -21585,  -28704,  -30033,   -1496,    -167,100.0,5.0,11.3,5.4,33.4,10.0,25.6,5.1,8.9,11.6,3.1,24.5,90.9,96.3,9.1,3.7,100.0,5.0,11.3,5.4,33.4,10.0,25.6,5.1,8.9,11.6,3.1,24.5,90.9,96.3,9.1,3.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334,     16,     20,     19,     27,     37,    104,     20,     68,    103,     36,     73,301,    223,334,     16,     20,     19,     27,     37,    104,     20,     68,    103,     36,     73,    301,    223,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,18.7,26.5,29.3,42.6,11.4,19.5,17.1,30.6,18.7,26.5,29.3,42.6,11.4,19.5,17.1,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250624,2025-06-24,088691,CMX ,1,88,698970,32926,77483,36975,218646,72674,167386,36902,61469,79481,21417,185737,636648,674329,62321,24641,698970,32926,77483,36975,218646,72674,167386,36902,61469,79481,21417,185737,636648,674329,62321,24641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -43424,     689,   -4242,    1176,   -7582,   -1757,   -4217,    1925,  -12710,   -6455,    -502,  -18489,  -41763,  -43358,   -1661,     -66,100.0,4.7,11.1,5.3,31.3,10.4,23.9,5.3,8.8,11.4,3.1,26.6,91.1,96.5,8.9,3.5,100.0,4.7,11.1,5.3,31.3,10.4,23.9,5.3,8.8,11.4,3.1,26.6,91.1,96.5,8.9,3.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345,     17,     19,     22,     24,     36,     96,     28,     70,    109,     41,     82,311,    235,345,     17,     19,     22,     24,     36,     96,     28,     70,    109,     41,     82,    311,    235,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,18.7,25.8,29.3,42.3,10.6,18.8,16.3,29.5,18.7,25.8,29.3,42.3,10.6,18.8,16.3,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250617,2025-06-17,088691,CMX ,1,88,742394,32237,81725,35799,226229,74431,171604,34978,74179,85936,21920,204226,678412,717687,63982,24707,742394,32237,81725,35799,226229,74431,171604,34978,74179,85936,21920,204226,678412,717687,63982,24707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   45312,   -1589,     946,    1851,   12912,    8160,    7289,     514,    8893,    5244,    1558,   11913,   41761,   44896,    3551,     416,100.0,4.3,11.0,4.8,30.5,10.0,23.1,4.7,10.0,11.6,3.0,27.5,91.4,96.7,8.6,3.3,100.0,4.3,11.0,4.8,30.5,10.0,23.1,4.7,10.0,11.6,3.0,27.5,91.4,96.7,8.6,3.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363,     18,     21,     22,     24,     37,    113,     17,     70,    117,     45,     83,331,    236,363,     18,     21,     22,     24,     37,    113,     17,     70,    117,     45,     83,    331,    236,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,19.2,26.5,29.3,42.4,9.6,18.5,14.7,28.6,19.2,26.5,29.3,42.4,9.6,18.5,14.7,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250610,2025-06-10,088691,CMX ,1,88,697081,33826,80779,33948,213316,66271,164315,34464,65286,80692,20361,192313,636651,672790,60431,24291,697081,33826,80779,33948,213316,66271,164315,34464,65286,80692,20361,192313,636651,672790,60431,24291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -13606,   -1350,    -229,    -897,    -856,   -1723,    -772,    -116,   -3576,   -1202,    -608,   -5916,  -15437,  -13025,    1831,    -581,100.0,4.9,11.6,4.9,30.6,9.5,23.6,4.9,9.4,11.6,2.9,27.6,91.3,96.5,8.7,3.5,100.0,4.9,11.6,4.9,30.6,9.5,23.6,4.9,9.4,11.6,2.9,27.6,91.3,96.5,8.7,3.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357,     20,     22,     20,     25,     35,    112,     21,     69,    108,     45,     81,326,    232,357,     20,     22,     20,     25,     35,    112,     21,     69,    108,     45,     81,    326,    232,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,20.1,27.5,30.4,43.0,10.2,18.6,15.6,28.8,20.1,27.5,30.4,43.0,10.2,18.6,15.6,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
GOLD - COMMODITY EXCHANGE INC.,250603,2025-06-03,088691,CMX ,1,88,710687,35176,81008,34845,214173,67995,165087,34579,68862,81894,20969,198229,652088,685815,58600,24872,710687,35176,81008,34845,214173,67995,165087,34579,68862,81894,20969,198229,652088,685815,58600,24872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -5539,    -744,     236,    -916,   12504,  -11736,   13052,    -218,   -9697,     463,    -638,    8334,   -1244,   -1214,   -4296,   -4325,100.0,4.9,11.4,4.9,30.1,9.6,23.2,4.9,9.7,11.5,3.0,27.9,91.8,96.5,8.2,3.5,100.0,4.9,11.4,4.9,30.1,9.6,23.2,4.9,9.7,11.5,3.0,27.9,91.8,96.5,8.2,3.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357,     21,     22,     19,     26,     37,    112,     21,     66,    106,     46,     76,323,    229,357,     21,     22,     19,     26,     37,    112,     21,     66,    106,     46,     76,    323,    229,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,20.2,27.7,30.3,42.8,10.0,18.4,15.0,28.4,20.2,27.7,30.3,42.8,10.0,18.4,15.0,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(CONTRACTS OF 100 TROY OUNCES),088691,CMX ,88,N20,Combined
