Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,M_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap__Positions_Short_Old,Swap__Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap__Positions_Short_Other,Swap__Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined
SILVER - COMMODITY EXCHANGE INC.,250805,2025-08-05,084691,CMX ,1,84,188228,7192,35237,27922,71011,8822,46387,15766,19673,22138,4260,21706,153841,176476,34386,11752,188228,7192,35237,27922,71011,8822,46387,15766,19673,22138,4260,21706,153841,176476,34386,11752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   -7192,   -1122,   -2415,     384,   -5121,     557,  -11657,    1355,    1402,    2543,   -1750,      32,   -7861,   -5940,     669,   -1253,100.0,3.8,18.7,14.8,37.7,4.7,24.6,8.4,10.5,11.8,2.3,11.5,81.7,93.8,18.3,6.2,100.0,3.8,18.7,14.8,37.7,4.7,24.6,8.4,10.5,11.8,2.3,11.5,81.7,93.8,18.3,6.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223,     12,     26,     14,     23,     25,     63,     20,     40,     59,     15,     32,188,    143,223,     12,     26,     14,     23,     25,     63,     20,     40,     59,     15,     32,    188,    143,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,16.5,31.4,25.9,46.8,11.9,28.9,18.9,40.8,16.5,31.4,25.9,46.8,11.9,28.9,18.9,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",084691,CMX ,84,N20,Combined
SILVER - COMMODITY EXCHANGE INC.,250729,2025-07-29,084691,CMX ,1,84,195420,8314,37652,27539,76132,8265,58044,14411,18272,19596,6010,21674,161703,182415,33718,13005,195420,8314,37652,27539,76132,8265,58044,14411,18272,19596,6010,21674,161703,182415,33718,13005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -14704,    -139,     -35,    -259,    -864,    -841,   -3187,   -1556,     350,   -1362,   -1545,   -6907,  -12344,  -11398,   -2359,   -3306,100.0,4.3,19.3,14.1,39.0,4.2,29.7,7.4,9.3,10.0,3.1,11.1,82.7,93.3,17.3,6.7,100.0,4.3,19.3,14.1,39.0,4.2,29.7,7.4,9.3,10.0,3.1,11.1,82.7,93.3,17.3,6.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229,     12,     28,     13,     23,     22,     70,     15,     30,     56,     20,     32,191,    132,229,     12,     28,     13,     23,     22,     70,     15,     30,     56,     20,     32,    191,    132,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,15.8,32.3,24.5,47.1,11.8,29.9,19.4,41.5,15.8,32.3,24.5,47.1,11.8,29.9,19.4,41.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",084691,CMX ,84,N20,Combined
SILVER - COMMODITY EXCHANGE INC.,250722,2025-07-22,084691,CMX ,1,84,210124,8453,37687,27797,76996,9107,61231,15966,17922,20957,7555,28581,174047,193813,36077,16311,210124,8453,37687,27797,76996,9107,61231,15966,17922,20957,7555,28581,174047,193813,36077,16311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    5809,    1375,     428,     359,    1025,    -124,    1158,    -179,    1106,    -221,    -466,    2198,    5851,    3988,     -42,    1821,100.0,4.0,17.9,13.2,36.6,4.3,29.1,7.6,8.5,10.0,3.6,13.6,82.8,92.2,17.2,7.8,100.0,4.0,17.9,13.2,36.6,4.3,29.1,7.6,8.5,10.0,3.6,13.6,82.8,92.2,17.2,7.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247,     11,     25,     12,     25,     23,     70,     15,     38,     67,     29,     42,205,    154,247,     11,     25,     12,     25,     23,     70,     15,     38,     67,     29,     42,    205,    154,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,15.3,30.4,24.5,45.2,11.0,28.1,18.5,39.2,15.3,30.4,24.5,45.2,11.0,28.1,18.5,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",084691,CMX ,84,N20,Combined
SILVER - COMMODITY EXCHANGE INC.,250715,2025-07-15,084691,CMX ,1,84,204315,7077,37259,27439,75971,9230,60072,16145,16816,21178,8020,26383,168196,189824,36119,14491,204315,7077,37259,27439,75971,9230,60072,16145,16816,21178,8020,26383,168196,189824,36119,14491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   15122,    -540,    2787,    -397,   -4311,    1062,     620,     298,    5056,    2184,    2481,    5912,   13897,   13284,    1225,    1838,100.0,3.5,18.2,13.4,37.2,4.5,29.4,7.9,8.2,10.4,3.9,12.9,82.3,92.9,17.7,7.1,100.0,3.5,18.2,13.4,37.2,4.5,29.4,7.9,8.2,10.4,3.9,12.9,82.3,92.9,17.7,7.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243,     15,     28,     12,     25,     23,     64,     18,     33,     62,     29,     46,200,    158,243,     15,     28,     12,     25,     23,     64,     18,     33,     62,     29,     46,    200,    158,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,15.3,30.7,24.6,45.4,11.6,28.3,19.1,39.5,15.3,30.7,24.6,45.4,11.6,28.3,19.1,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",084691,CMX ,84,N20,Combined
SILVER - COMMODITY EXCHANGE INC.,250708,2025-07-08,084691,CMX ,1,84,189193,7618,34472,27836,80282,8169,59452,15847,11760,18994,5539,20471,154299,176540,34893,12653,189193,7618,34472,27836,80282,8169,59452,15847,11760,18994,5539,20471,154299,176540,34893,12653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,    1107,    1121,   -1449,    -226,   -2119,     507,      41,    2061,    1362,   -1722,     653,     303,    1387,    1318,    -280,    -210,100.0,4.0,18.2,14.7,42.4,4.3,31.4,8.4,6.2,10.0,2.9,10.8,81.6,93.3,18.4,6.7,100.0,4.0,18.2,14.7,42.4,4.3,31.4,8.4,6.2,10.0,2.9,10.8,81.6,93.3,18.4,6.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232,     17,     27,     14,     22,     23,     63,     20,     35,     53,     26,     34,191,    146,232,     17,     27,     14,     22,     23,     63,     20,     35,     53,     26,     34,    191,    146,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,14.6,33.2,24.5,48.3,12.5,30.9,21.2,44.9,14.6,33.2,24.5,48.3,12.5,30.9,21.2,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",084691,CMX ,84,N20,Combined
SILVER - COMMODITY EXCHANGE INC.,250701,2025-07-01,084691,CMX ,1,84,188086,6497,35921,28061,82400,7661,59411,13787,10398,20716,4887,20168,152912,175223,35173,12863,188086,6497,35921,28061,82400,7661,59411,13787,10398,20716,4887,20168,152912,175223,35173,12863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -17021,    -655,   -4586,   -1586,    4970,   -4625,     210,     272,   -2567,   -1977,   -2839,   -5023,  -16223,  -14398,    -798,   -2623,100.0,3.5,19.1,14.9,43.8,4.1,31.6,7.3,5.5,11.0,2.6,10.7,81.3,93.2,18.7,6.8,100.0,3.5,19.1,14.9,43.8,4.1,31.6,7.3,5.5,11.0,2.6,10.7,81.3,93.2,18.7,6.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,     13,     24,     13,     24,     24,     62,     17,     29,     58,     26,     36,189,    140,230,     13,     24,     13,     24,     24,     62,     17,     29,     58,     26,     36,    189,    140,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,14.0,33.5,24.0,48.3,12.8,31.3,21.4,45.7,14.0,33.5,24.0,48.3,12.8,31.3,21.4,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",084691,CMX ,84,N20,Combined
SILVER - COMMODITY EXCHANGE INC.,250624,2025-06-24,084691,CMX ,1,84,205107,7152,40507,29648,77431,12286,59201,13515,12965,22693,7726,25191,169136,189621,35972,15486,205107,7152,40507,29648,77431,12286,59201,13515,12965,22693,7726,25191,169136,189621,35972,15486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  -15491,     252,   -1923,    3287,     675,   -3279,   -4390,     -42,   -7803,   -1625,    -245,    -778,  -14336,  -13396,   -1155,   -2095,100.0,3.5,19.7,14.5,37.8,6.0,28.9,6.6,6.3,11.1,3.8,12.3,82.5,92.4,17.5,7.6,100.0,3.5,19.7,14.5,37.8,6.0,28.9,6.6,6.3,11.1,3.8,12.3,82.5,92.4,17.5,7.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,     14,     27,     14,     23,     26,     64,     18,     33,     49,     34,     40,192,    153,235,     14,     27,     14,     23,     26,     64,     18,     33,     49,     34,     40,    192,    153,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,14.0,31.7,23.1,45.9,12.0,29.1,19.6,42.4,14.0,31.7,23.1,45.9,12.0,29.1,19.6,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",084691,CMX ,84,N20,Combined
SILVER - COMMODITY EXCHANGE INC.,250617,2025-06-17,084691,CMX ,1,84,220598,6900,42431,26361,76756,15565,63591,13557,20768,24318,7971,25968,183471,203017,37127,17581,220598,6900,42431,26361,76756,15565,63591,13557,20768,24318,7971,25968,183471,203017,37127,17581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   11316,    1132,    1056,     479,    2097,    3212,    3283,    2043,     407,     550,     723,    1945,   11009,   11483,     307,    -167,100.0,3.1,19.2,11.9,34.8,7.1,28.8,6.1,9.4,11.0,3.6,11.8,83.2,92.0,16.8,8.0,100.0,3.1,19.2,11.9,34.8,7.1,28.8,6.1,9.4,11.0,3.6,11.8,83.2,92.0,16.8,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244,     14,     27,     16,     18,     26,     74,     19,     37,     60,     27,     39,204,    153,244,     14,     27,     16,     18,     26,     74,     19,     37,     60,     27,     39,    204,    153,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,14.2,29.9,22.9,44.8,10.9,27.7,18.6,40.2,14.2,29.9,22.9,44.8,10.9,27.7,18.6,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",084691,CMX ,84,N20,Combined
SILVER - COMMODITY EXCHANGE INC.,250610,2025-06-10,084691,CMX ,1,84,209282,5768,41375,25882,74659,12353,60307,11514,20361,23768,7249,24023,172462,191534,36820,17748,209282,5768,41375,25882,74659,12353,60307,11514,20361,23768,7249,24023,172462,191534,36820,17748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   20226,    -202,    2914,     219,    3600,    4639,    1152,   -2260,    3696,    2917,     245,    4002,   16423,   16837,    3803,    3390,100.0,2.8,19.8,12.4,35.7,5.9,28.8,5.5,9.7,11.4,3.5,11.5,82.4,91.5,17.6,8.5,100.0,2.8,19.8,12.4,35.7,5.9,28.8,5.5,9.7,11.4,3.5,11.5,82.4,91.5,17.6,8.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235,     11,     25,     13,     22,     27,     70,     16,     40,     56,     30,     40,201,    150,235,     11,     25,     13,     22,     27,     70,     16,     40,     56,     30,     40,    201,    150,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,15.2,30.6,24.0,45.1,11.6,28.6,18.9,40.3,15.2,30.6,24.0,45.1,11.6,28.6,18.9,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",084691,CMX ,84,N20,Combined
SILVER - COMMODITY EXCHANGE INC.,250603,2025-06-03,084691,CMX ,1,84,189056,5969,38461,25663,71059,7714,59155,13774,16665,20851,7003,20021,156039,174697,33017,14359,189056,5969,38461,25663,71059,7714,59155,13774,16665,20851,7003,20021,156039,174697,33017,14359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,   21887,     743,    2470,    -418,    7123,    -688,   10468,   -1522,    5868,   -1082,    2292,    4439,   19330,   19983,    2557,    1904,100.0,3.2,20.3,13.6,37.6,4.1,31.3,7.3,8.8,11.0,3.7,10.6,82.5,92.4,17.5,7.6,100.0,3.2,20.3,13.6,37.6,4.1,31.3,7.3,8.8,11.0,3.7,10.6,82.5,92.4,17.5,7.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222,     14,     24,     14,     21,     27,     72,     17,     34,     48,     20,     29,188,    134,222,     14,     24,     14,     21,     27,     72,     17,     34,     48,     20,     29,    188,    134,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,15.0,32.1,24.8,46.4,12.1,30.0,20.3,41.9,15.0,32.1,24.8,46.4,12.1,30.0,20.3,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(CONTRACTS OF 5,000 TROY OUNCES)",084691,CMX ,84,N20,Combined
